Time,CH A,CH B,
6.12806E-3,-6.8187E-2,-9.5625E-3,
6.15308E-3,-8.0187E-2,-1.35625E-2,
6.17809E-3,-6.0187E-2,-1.03625E-2,
6.2031E-3,-7.2187E-2,-1.43625E-2,
6.22811E-3,-4.4187E-2,-9.5625E-3,
6.25313E-3,-5.6187E-2,-1.43625E-2,
6.27814E-3,-3.2187E-2,-9.5625E-3,
6.30315E-3,-4.4187E-2,-1.43625E-2,
6.32816E-3,-2.0187E-2,-9.5625E-3,
6.35318E-3,-3.2187E-2,-1.51625E-2,
6.37819E-3,-4.187E-3,-9.5625E-3,
6.4032E-3,-2.0187E-2,-1.51625E-2,
6.42821E-3,3.813E-3,-9.5625E-3,
6.45323E-3,-8.187E-3,-1.51625E-2,
6.47824E-3,1.1813E-2,-9.5625E-3,
6.50325E-3,-1.87E-4,-1.43625E-2,
6.52826E-3,2.3813E-2,-1.03625E-2,
6.55328E-3,1.1813E-2,-1.43625E-2,
6.57829E-3,3.1813E-2,-1.03625E-2,
6.6033E-3,1.5813E-2,-1.43625E-2,
6.62831E-3,3.9813E-2,-1.03625E-2,
6.65333E-3,2.3813E-2,-1.43625E-2,
6.67834E-3,4.7813E-2,-1.03625E-2,
6.70335E-3,3.5813E-2,-1.51625E-2,
6.72836E-3,5.5813E-2,-1.03625E-2,
6.75338E-3,3.9813E-2,-1.51625E-2,
6.77839E-3,5.9813E-2,-1.03625E-2,
6.8034E-3,4.7813E-2,-1.51625E-2,
6.82841E-3,7.1813E-2,-1.03625E-2,
6.85343E-3,5.5813E-2,-1.43625E-2,
6.87844E-3,7.9813E-2,-1.03625E-2,
6.90345E-3,6.3813E-2,-1.51625E-2,
6.92846E-3,8.7813E-2,-1.11625E-2,
6.95348E-3,7.5813E-2,-1.51625E-2,
6.97849E-3,9.5813E-2,-1.11625E-2,
7.0035E-3,7.9813E-2,-1.59625E-2,
7.02851E-3,9.9813E-2,-9.5625E-3,
7.05353E-3,8.7813E-2,-1.59625E-2,
7.07854E-3,1.07813E-1,-1.11625E-2,
7.10355E-3,9.5813E-2,-1.51625E-2,
7.12856E-3,1.11813E-1,-1.11625E-2,
7.15358E-3,9.9813E-2,-1.59625E-2,
7.17859E-3,1.15813E-1,-1.11625E-2,
7.2036E-3,1.03813E-1,-1.59625E-2,
7.22861E-3,1.19813E-1,-1.11625E-2,
7.25363E-3,1.07813E-1,-1.59625E-2,
7.27864E-3,1.23813E-1,-1.11625E-2,
7.30365E-3,1.07813E-1,-1.59625E-2,
7.32866E-3,1.27813E-1,-1.03625E-2,
7.35368E-3,1.15813E-1,-1.59625E-2,
